Epoch 37: duration loss = 0.535 | prior loss = 1.355 | diffusion loss = 0.130
Epoch 38: duration loss = 0.530 | prior loss = 1.341 | diffusion loss = 0.119
Epoch 39: duration loss = 0.528 | prior loss = 1.349 | diffusion loss = 0.111
Epoch 40: duration loss = 0.530 | prior loss = 1.353 | diffusion loss = 0.115
Epoch 41: duration loss = 0.527 | prior loss = 1.354 | diffusion loss = 0.123
Epoch 42: duration loss = 0.523 | prior loss = 1.345 | diffusion loss = 0.104
Epoch 43: duration loss = 0.520 | prior loss = 1.338 | diffusion loss = 0.118
Epoch 44: duration loss = 0.522 | prior loss = 1.336 | diffusion loss = 0.097
Epoch 45: duration loss = 0.522 | prior loss = 1.337 | diffusion loss = 0.090
Epoch 46: duration loss = 0.517 | prior loss = 1.336 | diffusion loss = 0.117
Epoch 47: duration loss = 0.517 | prior loss = 1.338 | diffusion loss = 0.104
Epoch 48: duration loss = 0.517 | prior loss = 1.332 | diffusion loss = 0.123
Epoch 49: duration loss = 0.512 | prior loss = 1.333 | diffusion loss = 0.107
Epoch 50: duration loss = 0.514 | prior loss = 1.332 | diffusion loss = 0.137
Epoch 1: duration loss = 0.583 | prior loss = 16.404 | diffusion loss = 0.855
Epoch 2: duration loss = 0.592 | prior loss = 15.190 | diffusion loss = 0.434
Epoch 3: duration loss = 0.512 | prior loss = 13.991 | diffusion loss = 0.308
Epoch 4: duration loss = 0.502 | prior loss = 12.574 | diffusion loss = 0.252
Epoch 5: duration loss = 0.540 | prior loss = 11.642 | diffusion loss = 0.210
Epoch 6: duration loss = 0.566 | prior loss = 10.600 | diffusion loss = 0.250
Epoch 7: duration loss = 0.601 | prior loss = 9.471 | diffusion loss = 0.268
Epoch 8: duration loss = 0.624 | prior loss = 9.039 | diffusion loss = 0.200
Epoch 9: duration loss = 0.666 | prior loss = 7.865 | diffusion loss = 0.229
Epoch 10: duration loss = 0.703 | prior loss = 6.955 | diffusion loss = 0.214
Epoch 11: duration loss = 0.724 | prior loss = 6.607 | diffusion loss = 0.212
Epoch 12: duration loss = 0.744 | prior loss = 5.848 | diffusion loss = 0.202
Epoch 13: duration loss = 0.748 | prior loss = 5.472 | diffusion loss = 0.194
Epoch 14: duration loss = 0.710 | prior loss = 4.897 | diffusion loss = 0.193
Epoch 15: duration loss = 0.686 | prior loss = 4.316 | diffusion loss = 0.219
